,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
108,1.0,0.0,0.0,0,0,0.0,0.0,151.0,0.0,0.0,DL,Delta Air Lines Inc.,12217,HSV  ,10397,ATL  ,656,2015,1,3,0,0,0,0.0,0.0,0,0,0.0
109,2.0,0.0,0.0,0,0,0.0,0.0,2519.0,0.0,0.0,DL,Delta Air Lines Inc.,10299,ANC  ,13487,MSP  ,694,2015,1,1,0,0,0,0.0,0.0,0,0,0.0
110,2.0,0.0,0.0,0,0,0.0,0.0,1097.0,0.0,0.0,DL,Delta Air Lines Inc.,14683,SAT  ,13487,MSP  ,819,2015,2,6,0,0,0,0.0,0.0,0,0,0.0
111,2.0,0.0,0.0,0,0,0.0,0.0,509.0,0.0,0.0,DL,Delta Air Lines Inc.,11433,DTW  ,12478,JFK  ,622,2015,3,9,0,0,0,0.0,0.0,0,0,0.0
112,2.0,0.0,0.0,0,0,0.0,0.0,356.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,14492,RDU  ,627,2015,4,10,0,0,0,0.0,0.0,0,0,0.0
113,2.0,0.0,0.0,0,0,0.0,0.0,2454.0,0.0,0.0,DL,Delta Air Lines Inc.,14057,PDX  ,12478,JFK  ,622,2015,4,10,0,0,0,0.0,0.0,0,0,0.0
114,3.0,0.0,0.0,0,0,0.0,0.0,774.0,0.0,0.0,DL,Delta Air Lines Inc.,11977,GRB  ,10397,ATL  ,819,2015,4,11,0,0,0,0.0,0.0,0,0,0.0
115,3.0,0.0,0.0,0,0,0.0,0.0,1142.0,0.0,0.0,DL,Delta Air Lines Inc.,10713,BOI  ,13487,MSP  ,622,2015,1,1,0,0,0,0.0,0.0,0,0,0.0
116,5.0,0.0,0.0,0,0,0.0,0.0,762.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,12953,LGA  ,819,2015,1,1,0,0,0,0.0,0.0,0,0,0.0
117,6.0,0.0,0.0,0,0,0.0,0.0,2454.0,0.0,0.0,DL,Delta Air Lines Inc.,14057,PDX  ,12478,JFK  ,687,2015,2,6,0,0,0,0.0,0.0,0,0,0.0
118,8.0,8.0,299200.0,1200,1066,0.0,0.0,2636.0,3079.0,2826.0,B6,JetBlue Airways,10721,BOS  ,14893,SMF  ,694,2015,2,6,150,133,17,0.11,0.27,3,0,329.5
119,9.0,0.0,0.0,0,0,0.0,0.0,432.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,12339,IND  ,819,2015,3,8,0,0,0,0.0,0.0,0,0,0.0
120,9.0,0.0,0.0,0,0,0.0,0.0,425.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,13495,MSY  ,819,2015,4,12,0,0,0,0.0,0.0,0,0,0.0
121,9.0,0.0,0.0,0,0,0.0,0.0,581.0,0.0,0.0,DL,Delta Air Lines Inc.,11697,FLL  ,10397,ATL  ,656,2015,1,3,0,0,0,0.0,0.0,0,0,0.0
122,9.0,0.0,0.0,0,0,0.0,0.0,577.0,0.0,0.0,DL,Delta Air Lines Inc.,10821,BWI  ,10397,ATL  ,819,2015,2,5,0,0,0,0.0,0.0,0,0,0.0
123,9.0,8.0,209600.0,800,708,0.0,0.0,1074.0,1461.0,1211.0,B6,JetBlue Airways,12478,JFK  ,14635,RSW  ,678,2015,2,5,100,89,11,0.11,0.27,2,0,134.25
124,11.0,0.0,0.0,0,0,0.0,0.0,317.0,0.0,0.0,DL,Delta Air Lines Inc.,13577,MYR  ,10397,ATL  ,656,2015,1,1,0,0,0,0.0,0.0,0,0,0.0
